station	date	operateur	releve	herbe	sol_nu	roche	mousse	hauteur	ciel	rq_station	taxon	entendu	vu	fauche	stade	abondance	rq_ind	altitude	data_GPS	X_WGS84	Y_WGS84
78	23/08/2018	BRAUD Yoan	677	100	0	0	0	17	ensoleille		Stenobothrus nigromaculatus		1	1	adulte	3		1884	23/08/2018 13:29	6.75745	44.20902
78	23/08/2018	BRAUD Yoan	677	100	0	0	0	17	ensoleille		Ephippiger terrestris		1	1	adulte	1		1884	23/08/2018 13:29	6.75745	44.20902
78	23/08/2018	BRAUD Yoan	677	100	0	0	0	17	ensoleille		Gomphocerinae sp			1	juvenile	 ++		1884	23/08/2018 13:29	6.75745	44.20902
78	23/08/2018	BRAUD Yoan	677						ensoleille		Tettigonia viridissima				adulte	hors releve		1884	23/08/2018 13:29	6.75745	44.20902
593	23/08/2018	BRAUD Yoan	678	60	0	40	0	8	ensoleille		Chorthippus apricarius		1		adulte	3		1830	23/08/2018 16:42	6.75841	44.20591
593	23/08/2018	BRAUD Yoan	678	60	0	40	0	8	ensoleille		Chorthippus biguttulus	1	1		adulte	 +		1830	23/08/2018 16:42	6.75841	44.20591
593	23/08/2018	BRAUD Yoan	678	60	0	40	0	8	ensoleille		Stauroderus scalaris	1	1		adulte	 +		1830	23/08/2018 16:42	6.75841	44.20591
593	23/08/2018	BRAUD Yoan	678	60	0	40	0	8	ensoleille		Euchorthippus declivus		1	1	adulte	 +		1830	23/08/2018 16:42	6.75841	44.20591
593	23/08/2018	BRAUD Yoan	678	60	0	40	0	8	ensoleille		Oedipoda germanica		1		melange (juveniles et adultes)	4		1830	23/08/2018 16:42	6.75841	44.20591
593	23/08/2018	BRAUD Yoan	678	60	0	40	0	8	ensoleille		Stenobothrus lineatus		1	1	adulte	 +		1830	23/08/2018 16:42	6.75841	44.20591
593	23/08/2018	BRAUD Yoan	678	60	0	40	0	8	ensoleille		Stenobothrus nigromaculatus	1	1	1	adulte	 +		1830	23/08/2018 16:42	6.75841	44.20591
593	23/08/2018	BRAUD Yoan	678	60	0	40	0	8	ensoleille		Ephippiger terrestris		1		adulte	1		1830	23/08/2018 16:42	6.75841	44.20591
A164	9/08/2018	BRAUD Yoan (+MANSONS Jerome)	545	80	5	15	0	35	ensoleille		Chorthippus vagans vagans	1	1		adulte	 ++		1220	23/07/2018 13:45	7.4291	43.94667
593	23/08/2018	BRAUD Yoan	678	60	0	40	0	8	ensoleille		Gomphocerinae sp		1	1	juvenile	 +		1830	23/08/2018 16:42	6.75841	44.20591
593	23/08/2018	BRAUD Yoan	678	60	0	40	0	8	ensoleille		Platycleis albopunctata		1		adulte	2		1830	23/08/2018 16:42	6.75841	44.20591
593	23/08/2018	BRAUD Yoan	679	35	25	35	5	2	ensoleille		Stauroderus scalaris	1	1		adulte	2		1837	23/08/2018 17:04	6.75856	44.20617
593	23/08/2018	BRAUD Yoan	679	35	25	35	5	2	ensoleille		Oedipoda germanica		1	1	melange (juveniles et adultes)	 ++		1837	23/08/2018 17:04	6.75856	44.20617
593	23/08/2018	BRAUD Yoan	679	35	25	35	5	2	ensoleille		Stenobothrus lineatus	1	1		adulte	2		1837	23/08/2018 17:04	6.75856	44.20617
A164	17/09/2018	BRAUD Yoan	545						ensoleille	station-test phenologie	Chorthippus vagans vagans	1	1	1	adulte	 +		1220	23/07/2018 13:45	7.4291	43.94667
593	23/08/2018	BRAUD Yoan	680	85	3	10	2	4	ensoleille		Chorthippus biguttulus	1	1		adulte	 +		1833	23/08/2018 17:05	6.7582	44.20613
593	23/08/2018	BRAUD Yoan	680	85	3	10	2	4	ensoleille		Stauroderus scalaris	1	1		adulte	2		1833	23/08/2018 17:05	6.7582	44.20613
593	23/08/2018	BRAUD Yoan	680	85	3	10	2	4	ensoleille		Euchorthippus declivus		1	1	adulte	3		1833	23/08/2018 17:05	6.7582	44.20613
593	23/08/2018	BRAUD Yoan	680	85	3	10	2	4	ensoleille		Oedipoda germanica		1		melange (juveniles et adultes)	 +		1833	23/08/2018 17:05	6.7582	44.20613
593	23/08/2018	BRAUD Yoan	680	85	3	10	2	4	ensoleille		Omocestus haemorrhoidalis		1	1	adulte	 +		1833	23/08/2018 17:05	6.7582	44.20613
593	23/08/2018	BRAUD Yoan	680	85	3	10	2	4	ensoleille		Stenobothrus lineatus	1	1		adulte	3		1833	23/08/2018 17:05	6.7582	44.20613
593	23/08/2018	BRAUD Yoan	680	85	3	10	2	4	ensoleille		Gomphocerinae sp		1	1	juvenile	 +		1833	23/08/2018 17:05	6.7582	44.20613
593	23/08/2018	BRAUD Yoan	681	50	5	40	5	1	ensoleille		Chorthippus biguttulus		1		adulte	 +		1838	23/08/2018 17:06	6.75828	44.20644
593	23/08/2018	BRAUD Yoan	681	50	5	40	5	1	ensoleille		Stauroderus scalaris	1	1	1	adulte	 ++		1838	23/08/2018 17:06	6.75828	44.20644
593	23/08/2018	BRAUD Yoan	681	50	5	40	5	1	ensoleille		Euchorthippus declivus		1	1	adulte	 ++		1838	23/08/2018 17:06	6.75828	44.20644
593	23/08/2018	BRAUD Yoan	681	50	5	40	5	1	ensoleille		Oedipoda germanica		1		adulte	1		1838	23/08/2018 17:06	6.75828	44.20644
593	23/08/2018	BRAUD Yoan	681	50	5	40	5	1	ensoleille		Stenobothrus nigromaculatus		1		adulte	2		1838	23/08/2018 17:06	6.75828	44.20644
593	23/08/2018	BRAUD Yoan	681	50	5	40	5	1	ensoleille		Gomphocerinae sp		1	1	juvenile	2		1838	23/08/2018 17:06	6.75828	44.20644
593	23/08/2018	BRAUD Yoan	681	50	5	40	5	1	ensoleille		Platycleis albopunctata		1		adulte	1		1838	23/08/2018 17:06	6.75828	44.20644
34	19/08/2019	BRAUD Yoan	1043	60	0	40	0	3	intermediaire		Chorthippus saulcyi daimei	1	1		adulte	 +++		2072	19/08/2019	6.715137	44.16946
593	23/08/2018	BRAUD Yoan	682	100	0	0	0	9	ensoleille		Stauroderus scalaris	1	1	1	adulte	 ++		1834	23/08/2018 17:07	6.75777	44.20634
593	23/08/2018	BRAUD Yoan	682	100	0	0	0	9	ensoleille		Euchorthippus declivus		1	1	melange (juveniles et adultes)	 +++		1834	23/08/2018 17:07	6.75777	44.20634
593	23/08/2018	BRAUD Yoan	682	100	0	0	0	9	ensoleille		Omocestus haemorrhoidalis		1	1	adulte	 ++		1834	23/08/2018 17:07	6.75777	44.20634
593	23/08/2018	BRAUD Yoan	682	100	0	0	0	9	ensoleille		Stenobothrus nigromaculatus		1	1	adulte	3		1834	23/08/2018 17:07	6.75777	44.20634
593	23/08/2018	BRAUD Yoan	682	100	0	0	0	9	ensoleille		Ephippiger terrestris		1	1	adulte	1		1834	23/08/2018 17:07	6.75777	44.20634
593	23/08/2018	BRAUD Yoan	682						ensoleille		Nemobius sylvestris				adulte	hors releve		1834	23/08/2018 17:07	6.75777	44.20634
593	23/08/2018	BRAUD Yoan	682						ensoleille		Arcyptera fusca				adulte	hors releve		1834	23/08/2018 17:07	6.75777	44.20634
675	24/08/2018	BRAUD Yoan	683	100	0	0	0	22	ensoleille		Arcyptera fusca	1	1	1	adulte	3		1894	24/08/2018 10:15	6.7199	44.18021
675	24/08/2018	BRAUD Yoan	683	100	0	0	0	22	ensoleille		Chorthippus apricarius		1	1	adulte	 +++		1894	24/08/2018 10:15	6.7199	44.18021
34	19/08/2019	BRAUD Yoan	1045	55	5	40	0	2	intermediaire		Chorthippus saulcyi daimei	1	1		adulte	 +++		2075	19/08/2019	6.715385	44.169511
675	24/08/2018	BRAUD Yoan	683	100	0	0	0	22	ensoleille		Stauroderus scalaris	1	1		adulte	 +		1894	24/08/2018 10:15	6.7199	44.18021
675	24/08/2018	BRAUD Yoan	683	100	0	0	0	22	ensoleille		Euchorthippus declivus	1	1	1	melange (juveniles et adultes)	 +++		1894	24/08/2018 10:15	6.7199	44.18021
675	24/08/2018	BRAUD Yoan	683	100	0	0	0	22	ensoleille		Stenobothrus lineatus		1	1	adulte	 +		1894	24/08/2018 10:15	6.7199	44.18021
675	24/08/2018	BRAUD Yoan	683	100	0	0	0	22	ensoleille		Bicolorana bicolor	1	1		adulte	 +		1894	24/08/2018 10:15	6.7199	44.18021
44	19/08/2019	BRAUD Yoan	1036	30	5	65	0	3	ensoleille		Chorthippus saulcyi daimei	1	1		adulte	 +++	Presence hors releve de Psophus stridulus	1980	19/08/2019	6.717816	44.168477
675	24/08/2018	BRAUD Yoan	683	100	0	0	0	22	ensoleille		Ephippiger terrestris	1	1	1	adulte	1		1894	24/08/2018 10:15	6.7199	44.18021
675	24/08/2018	BRAUD Yoan	683	100	0	0	0	22	ensoleille		Gomphocerinae sp		1	1	juvenile	 +		1894	24/08/2018 10:15	6.7199	44.18021
675	24/08/2018	BRAUD Yoan	684	70	15	15	0	30	ensoleille		Calliptamus siciliae		1	1	melange (juveniles et adultes)	2		1890	24/08/2018 10:38	6.71997	44.17994
675	24/08/2018	BRAUD Yoan	684	70	15	15	0	30	ensoleille		Chorthippus apricarius		1		adulte	 +		1890	24/08/2018 10:38	6.71997	44.17994
675	24/08/2018	BRAUD Yoan	684	70	15	15	0	30	ensoleille		Chorthippus biguttulus			1	adulte	1		1890	24/08/2018 10:38	6.71997	44.17994
675	24/08/2018	BRAUD Yoan	684	70	15	15	0	30	ensoleille		Stauroderus scalaris	1	1	1	adulte	 +		1890	24/08/2018 10:38	6.71997	44.17994
675	24/08/2018	BRAUD Yoan	684	70	15	15	0	30	ensoleille		Euchorthippus declivus		1	1	melange (juveniles et adultes)	 +++		1890	24/08/2018 10:38	6.71997	44.17994
675	24/08/2018	BRAUD Yoan	684	70	15	15	0	30	ensoleille		Stenobothrus lineatus	1	1		adulte	2		1890	24/08/2018 10:38	6.71997	44.17994
675	24/08/2018	BRAUD Yoan	684	70	15	15	0	30	ensoleille		Stenobothrus nigromaculatus	1	1		adulte	 +		1890	24/08/2018 10:38	6.71997	44.17994
675	24/08/2018	BRAUD Yoan	684	70	15	15	0	30	ensoleille		Anonconotus ghiliani		1		adulte	4		1890	24/08/2018 10:38	6.71997	44.17994
675	24/08/2018	BRAUD Yoan	684	70	15	15	0	30	ensoleille		Ephippiger terrestris	1	1	1	adulte	2		1890	24/08/2018 10:38	6.71997	44.17994
675	24/08/2018	BRAUD Yoan	684	70	15	15	0	30	ensoleille		Gomphocerinae sp		1	1	juvenile	 +		1890	24/08/2018 10:38	6.71997	44.17994
675	24/08/2018	BRAUD Yoan	684	70	15	15	0	30	ensoleille		Platycleis albopunctata		1		adulte	 +		1890	24/08/2018 10:38	6.71997	44.17994
675	24/08/2018	BRAUD Yoan	685	90	7	3	0	37	ensoleille		Arcyptera fusca	1	1		adulte	1		1878	24/08/2018 11:01	6.7203	44.17986
675	24/08/2018	BRAUD Yoan	685	90	7	3	0	37	ensoleille		Calliptamus siciliae			1	adulte	1		1878	24/08/2018 11:01	6.7203	44.17986
675	24/08/2018	BRAUD Yoan	685	90	7	3	0	37	ensoleille		Chorthippus apricarius		1		adulte	3		1878	24/08/2018 11:01	6.7203	44.17986
44	19/08/2019	BRAUD Yoan	1037	45	10	40	5	20	ensoleille		Chorthippus saulcyi daimei	1	1		adulte	 ++	Presence hors releve de Psophus stridulus	1974	19/08/2019	6.717484	44.168506
675	24/08/2018	BRAUD Yoan	685	90	7	3	0	37	ensoleille		Stauroderus scalaris	1	1	1	adulte	 ++		1878	24/08/2018 11:01	6.7203	44.17986
675	24/08/2018	BRAUD Yoan	685	90	7	3	0	37	ensoleille		Euchorthippus declivus		1	1	melange (juveniles et adultes)	 ++++		1878	24/08/2018 11:01	6.7203	44.17986
675	24/08/2018	BRAUD Yoan	685	90	7	3	0	37	ensoleille		Ephippiger terrestris	1	1		adulte	1		1878	24/08/2018 11:01	6.7203	44.17986
675	24/08/2018	BRAUD Yoan	685	90	7	3	0	37	ensoleille		Gomphocerinae sp		1	1	juvenile	2		1878	24/08/2018 11:01	6.7203	44.17986
675	24/08/2018	BRAUD Yoan	686	100	0	0	0	42	ensoleille		Chorthippus apricarius		1	1	adulte	 +++		1880	24/08/2018 11:18	6.72023	44.18011
44	19/08/2019	BRAUD Yoan	1038	50	5	45	0	15	ensoleille		Chorthippus saulcyi daimei	1	1		adulte	 ++	Presence hors releve de Psophus stridulus	1976	19/08/2019	6.717034	44.168614
675	24/08/2018	BRAUD Yoan	686	100	0	0	0	42	ensoleille		Stauroderus scalaris	1	1		adulte	 +		1880	24/08/2018 11:18	6.72023	44.18011
675	24/08/2018	BRAUD Yoan	686	100	0	0	0	42	ensoleille		Euchorthippus declivus		1	1	melange (juveniles et adultes)	 +++		1880	24/08/2018 11:18	6.72023	44.18011
675	24/08/2018	BRAUD Yoan	686	100	0	0	0	42	ensoleille		Bicolorana bicolor	1	1		adulte	2		1880	24/08/2018 11:18	6.72023	44.18011
675	24/08/2018	BRAUD Yoan	686	100	0	0	0	42	ensoleille		Ephippiger terrestris	1	1	1	adulte	3		1880	24/08/2018 11:18	6.72023	44.18011
675	24/08/2018	BRAUD Yoan	686	100	0	0	0	42	ensoleille		Tettigonia viridissima		1	1	adulte	1		1880	24/08/2018 11:18	6.72023	44.18011
675	24/08/2018	BRAUD Yoan	686	100	0	0	0	42	ensoleille		Gomphocerinae sp		1	1	juvenile	2		1880	24/08/2018 11:18	6.72023	44.18011
44	19/08/2019	BRAUD Yoan	1039	50	5	45	0	8	ensoleille		Chorthippus saulcyi daimei	1	1		adulte	 ++	Presence hors releve de Psophus stridulus	1966	19/08/2019	6.717203	44.168426
675	24/08/2018	BRAUD Yoan	687	45	25	30	0	4	ensoleille		Calliptamus siciliae		1	1	melange (juveniles et adultes)	3		1883	24/08/2018 11:37	6.72016	44.1804
675	24/08/2018	BRAUD Yoan	687	45	25	30	0	4	ensoleille		Stauroderus scalaris	1	1	1	adulte	 +		1883	24/08/2018 11:37	6.72016	44.1804
675	24/08/2018	BRAUD Yoan	687	45	25	30	0	4	ensoleille		Euchorthippus declivus		1	1	melange (juveniles et adultes)	4		1883	24/08/2018 11:37	6.72016	44.1804
675	24/08/2018	BRAUD Yoan	687	45	25	30	0	4	ensoleille		Oedipoda germanica		1		adulte	2		1883	24/08/2018 11:37	6.72016	44.1804
675	24/08/2018	BRAUD Yoan	687	45	25	30	0	4	ensoleille		Stenobothrus nigromaculatus		1	1	adulte	4		1883	24/08/2018 11:37	6.72016	44.1804
675	24/08/2018	BRAUD Yoan	687	45	25	30	0	4	ensoleille		Ephippiger terrestris		1		adulte	1		1883	24/08/2018 11:37	6.72016	44.1804
675	24/08/2018	BRAUD Yoan	687						ensoleille		Psophus stridulus				adulte	hors releve		1883	24/08/2018 11:37	6.72016	44.1804
665	24/08/2018	BRAUD Yoan	688	100	0	0	0	16	ensoleille		Arcyptera fusca	1	1	1	adulte	3		1949	24/08/2018 11:58	6.71476	44.18019
44	19/08/2019	BRAUD Yoan	1040	40	5	55	0	6	ensoleille		Chorthippus saulcyi daimei	1	1		adulte	 ++	Presence hors releve de Psophus stridulus	1958	19/08/2019	6.717624	44.168376
665	24/08/2018	BRAUD Yoan	688	100	0	0	0	16	ensoleille		Stauroderus scalaris	1	1	1	adulte	 ++		1949	24/08/2018 11:58	6.71476	44.18019
665	24/08/2018	BRAUD Yoan	688	100	0	0	0	16	ensoleille		Euchorthippus declivus			1	melange (juveniles et adultes)	2		1949	24/08/2018 11:58	6.71476	44.18019
665	24/08/2018	BRAUD Yoan	688	100	0	0	0	16	ensoleille		Omocestus haemorrhoidalis		1	1	adulte	 +++		1949	24/08/2018 11:58	6.71476	44.18019
665	24/08/2018	BRAUD Yoan	688	100	0	0	0	16	ensoleille		Omocestus viridulus	1	1	1	adulte	 +		1949	24/08/2018 11:58	6.71476	44.18019
665	24/08/2018	BRAUD Yoan	688	100	0	0	0	16	ensoleille		Psophus stridulus	1	1		adulte	1		1949	24/08/2018 11:58	6.71476	44.18019
665	24/08/2018	BRAUD Yoan	688	100	0	0	0	16	ensoleille		Stenobothrus lineatus		1	1	adulte	 ++		1949	24/08/2018 11:58	6.71476	44.18019
665	24/08/2018	BRAUD Yoan	688	100	0	0	0	16	ensoleille		Stenobothrus nigromaculatus		1	1	adulte	 +		1949	24/08/2018 11:58	6.71476	44.18019
665	24/08/2018	BRAUD Yoan	688	100	0	0	0	16	ensoleille		Bicolorana bicolor		1		adulte	2		1949	24/08/2018 11:58	6.71476	44.18019
665	24/08/2018	BRAUD Yoan	688	100	0	0	0	16	ensoleille		Ephippiger terrestris	1	1	1	adulte	2		1949	24/08/2018 11:58	6.71476	44.18019
665	24/08/2018	BRAUD Yoan	688	100	0	0	0	16	ensoleille		Gomphocerinae sp			1	juvenile	2		1949	24/08/2018 11:58	6.71476	44.18019
665	24/08/2018	BRAUD Yoan	689	100	0	0	0	9	ensoleille		Arcyptera fusca		1		adulte	1		1954	24/08/2018 12:13	6.71456	44.18043
26	11/09/2019	GUIMIER Hubert	1495	40	15	45	0	20	couvert	Photo n�4503	Chorthippus saulcyi daimei		1		adulte	2	Presence hors releve de Arcyptera fusca	2555	11/09/2019	6.757205	44.260401
665	24/08/2018	BRAUD Yoan	689	100	0	0	0	9	ensoleille		Stauroderus scalaris	1	1	1	adulte	 ++		1954	24/08/2018 12:13	6.71456	44.18043
665	24/08/2018	BRAUD Yoan	689	100	0	0	0	9	ensoleille		Euchorthippus declivus			1	juvenile	1		1954	24/08/2018 12:13	6.71456	44.18043
665	24/08/2018	BRAUD Yoan	689	100	0	0	0	9	ensoleille		Omocestus haemorrhoidalis		1	1	adulte	 ++++		1954	24/08/2018 12:13	6.71456	44.18043
665	24/08/2018	BRAUD Yoan	689	100	0	0	0	9	ensoleille		Omocestus viridulus		1	1	adulte	 ++		1954	24/08/2018 12:13	6.71456	44.18043
665	24/08/2018	BRAUD Yoan	689	100	0	0	0	9	ensoleille		Psophus stridulus		1	1	adulte	1		1954	24/08/2018 12:13	6.71456	44.18043
665	24/08/2018	BRAUD Yoan	689	100	0	0	0	9	ensoleille		Stenobothrus lineatus	1	1	1	adulte	 +++		1954	24/08/2018 12:13	6.71456	44.18043
665	24/08/2018	BRAUD Yoan	689	100	0	0	0	9	ensoleille		Stenobothrus nigromaculatus		1	1	adulte	 +		1954	24/08/2018 12:13	6.71456	44.18043
665	24/08/2018	BRAUD Yoan	689	100	0	0	0	9	ensoleille		Bicolorana bicolor		1	1	adulte	 +		1954	24/08/2018 12:13	6.71456	44.18043
665	24/08/2018	BRAUD Yoan	689	100	0	0	0	9	ensoleille		Ephippiger terrestris		1		adulte	1		1954	24/08/2018 12:13	6.71456	44.18043
665	24/08/2018	BRAUD Yoan	689	100	0	0	0	9	ensoleille		Gomphocerinae sp			1	juvenile	3		1954	24/08/2018 12:13	6.71456	44.18043
665	24/08/2018	BRAUD Yoan	690	100	0	0	0	12	ensoleille		Arcyptera fusca		1		adulte	1		1956	24/08/2018 12:35	6.71452	44.17998
665	24/08/2018	BRAUD Yoan	690	100	0	0	0	12	ensoleille		Chorthippus apricarius			1	adulte	1		1956	24/08/2018 12:35	6.71452	44.17998
26	11/09/2019	GUIMIER Hubert	1493	25	5	60	0	10	ensoleille	Photo n�4503	Chorthippus saulcyi daimei	1	1		adulte	+	Presence hors releve de Arcyptera fusca	2552	11/09/2019	6.757357	44.260227
665	24/08/2018	BRAUD Yoan	690	100	0	0	0	12	ensoleille		Stauroderus scalaris	1	1	1	adulte	 +		1956	24/08/2018 12:35	6.71452	44.17998
665	24/08/2018	BRAUD Yoan	690	100	0	0	0	12	ensoleille		Euchorthippus declivus		1	1	melange (juveniles et adultes)	4		1956	24/08/2018 12:35	6.71452	44.17998
665	24/08/2018	BRAUD Yoan	690	100	0	0	0	12	ensoleille		Omocestus haemorrhoidalis		1	1	adulte	 ++		1956	24/08/2018 12:35	6.71452	44.17998
665	24/08/2018	BRAUD Yoan	690	100	0	0	0	12	ensoleille		Stenobothrus lineatus		1	1	adulte	 +		1956	24/08/2018 12:35	6.71452	44.17998
665	24/08/2018	BRAUD Yoan	690	100	0	0	0	12	ensoleille		Stenobothrus nigromaculatus		1	1	adulte	 ++		1956	24/08/2018 12:35	6.71452	44.17998
665	24/08/2018	BRAUD Yoan	690	100	0	0	0	12	ensoleille		Anonconotus ghiliani		1	1	melange (juveniles et adultes)	2		1956	24/08/2018 12:35	6.71452	44.17998
665	24/08/2018	BRAUD Yoan	690	100	0	0	0	12	ensoleille		Gomphocerinae sp		1	1	juvenile	 ++		1956	24/08/2018 12:35	6.71452	44.17998
665	24/08/2018	BRAUD Yoan	691	100	0	0	0	19	ensoleille		Chorthippus apricarius		1	1	adulte	3		1958	24/08/2018 13:01	6.71419	44.17987
26	11/09/2019	GUIMIER Hubert	1492	85	5	10	0	20	intermediaire	Photo n�4503	Chorthippus saulcyi daimei	1	1		adulte	3	Presence hors releve de Arcyptera fusca	2545	11/09/2019	6.757094	44.260239
665	24/08/2018	BRAUD Yoan	691	100	0	0	0	19	ensoleille		Stauroderus scalaris	1	1	1	adulte	 +		1958	24/08/2018 13:01	6.71419	44.17987
665	24/08/2018	BRAUD Yoan	691	100	0	0	0	19	ensoleille		Stenobothrus lineatus		1	1	adulte	 ++		1958	24/08/2018 13:01	6.71419	44.17987
665	24/08/2018	BRAUD Yoan	691	100	0	0	0	19	ensoleille		Stenobothrus nigromaculatus		1		adulte	1		1958	24/08/2018 13:01	6.71419	44.17987
665	24/08/2018	BRAUD Yoan	691	100	0	0	0	19	ensoleille		Bicolorana bicolor		1		adulte	3		1958	24/08/2018 13:01	6.71419	44.17987
46	11/09/2019	GUIMIER Hubert	1500	60	5	35	0	10	ensoleille	Photo n�4499	Chorthippus saulcyi daimei		1		adulte	3	Presence hors releve de Ephippiger terretris	2394	11/09/2019	6.754419	44.257849
665	24/08/2018	BRAUD Yoan	691	100	0	0	0	19	ensoleille		Ephippiger terrestris		1	1	melange (juveniles et adultes)	3		1958	24/08/2018 13:01	6.71419	44.17987
665	24/08/2018	BRAUD Yoan	691	100	0	0	0	19	ensoleille		Gomphocerinae sp			1	juvenile	2		1958	24/08/2018 13:01	6.71419	44.17987
665	24/08/2018	BRAUD Yoan	692	100	0	0	0	14	ensoleille		Arcyptera fusca	1	1		adulte	3		1954	24/08/2018 13:25	6.71489	44.18045
665	24/08/2018	BRAUD Yoan	692	100	0	0	0	14	ensoleille		Chorthippus apricarius		1		adulte	1		1954	24/08/2018 13:25	6.71489	44.18045
46	11/09/2019	GUIMIER Hubert	1499	85	10	5	0	10	ensoleille	Photo n�4499	Chorthippus saulcyi daimei		1		adulte	2	Presence hors releve de Ephippiger terretris	2389	11/09/2019	6.754708	44.257892
665	24/08/2018	BRAUD Yoan	692	100	0	0	0	14	ensoleille		Stauroderus scalaris	1	1		adulte	3		1954	24/08/2018 13:25	6.71489	44.18045
665	24/08/2018	BRAUD Yoan	692	100	0	0	0	14	ensoleille		Euchorthippus declivus		1	1	melange (juveniles et adultes)	2		1954	24/08/2018 13:25	6.71489	44.18045
665	24/08/2018	BRAUD Yoan	692	100	0	0	0	14	ensoleille		Omocestus haemorrhoidalis		1	1	adulte	 ++		1954	24/08/2018 13:25	6.71489	44.18045
665	24/08/2018	BRAUD Yoan	692	100	0	0	0	14	ensoleille		Stenobothrus lineatus		1	1	adulte	 +		1954	24/08/2018 13:25	6.71489	44.18045
665	24/08/2018	BRAUD Yoan	692	100	0	0	0	14	ensoleille		Stenobothrus nigromaculatus		1	1	adulte	 +		1954	24/08/2018 13:25	6.71489	44.18045
665	24/08/2018	BRAUD Yoan	692	100	0	0	0	14	ensoleille		Anonconotus ghiliani		1		adulte	2		1954	24/08/2018 13:25	6.71489	44.18045
665	24/08/2018	BRAUD Yoan	692	100	0	0	0	14	ensoleille		Bicolorana bicolor		1	1	adulte	4		1954	24/08/2018 13:25	6.71489	44.18045
16	11/09/2019	BRAUD Yoan	1206	60	10	30	0	16	ensoleille		Chorthippus saulcyi daimei	1	1		adulte	+		2600	11/09/2019	6.759976	44.260532
665	24/08/2018	BRAUD Yoan	692	100	0	0	0	14	ensoleille		Ephippiger terrestris		1	1	adulte	2		1954	24/08/2018 13:25	6.71489	44.18045
665	24/08/2018	BRAUD Yoan	692	100	0	0	0	14	ensoleille		Gomphocerinae sp		1	1	juvenile	 +		1954	24/08/2018 13:25	6.71489	44.18045
16	11/09/2019	BRAUD Yoan	1207	65	25	10	0	20	ensoleille		Chorthippus saulcyi daimei		1		adulte	+		2603	11/09/2019	6.759865	44.260776
655	24/08/2018	BRAUD Yoan	693	80	0	10	10	38	ensoleille		Stauroderus scalaris	1	1	1	adulte	 ++		1982	24/08/2018 13:39	6.71014	44.1807
655	24/08/2018	BRAUD Yoan	693	80	0	10	10	38	ensoleille		Psophus stridulus		1		melange (juveniles et adultes)	1		1982	24/08/2018 13:39	6.71014	44.1807
655	24/08/2018	BRAUD Yoan	693	80	0	10	10	38	ensoleille		Stenobothrus lineatus	1	1		adulte	2		1982	24/08/2018 13:39	6.71014	44.1807
655	24/08/2018	BRAUD Yoan	693	80	0	10	10	38	ensoleille		Stenobothrus nigromaculatus		1		adulte	 +		1982	24/08/2018 13:39	6.71014	44.1807
655	24/08/2018	BRAUD Yoan	693	80	0	10	10	38	ensoleille		Bicolorana bicolor	1	1		adulte	3		1982	24/08/2018 13:39	6.71014	44.1807
655	24/08/2018	BRAUD Yoan	693	80	0	10	10	38	ensoleille		Ephippiger terrestris	1	1		melange (juveniles et adultes)	 +		1982	24/08/2018 13:39	6.71014	44.1807
655	24/08/2018	BRAUD Yoan	693	80	0	10	10	38	ensoleille		Gomphocerinae sp		1	1	juvenile	3		1982	24/08/2018 13:39	6.71014	44.1807
655	24/08/2018	BRAUD Yoan	694	95	5	0	0	13	ensoleille		Stauroderus scalaris	1	1	1	adulte	 ++		1983	24/08/2018 13:58	6.70982	44.18073
655	24/08/2018	BRAUD Yoan	694	95	5	0	0	13	ensoleille		Psophus stridulus		1		adulte	1		1983	24/08/2018 13:58	6.70982	44.18073
655	24/08/2018	BRAUD Yoan	694	95	5	0	0	13	ensoleille		Stenobothrus lineatus		1		adulte	 +		1983	24/08/2018 13:58	6.70982	44.18073
655	24/08/2018	BRAUD Yoan	694	95	5	0	0	13	ensoleille		Anonconotus ghiliani		1		adulte	2		1983	24/08/2018 13:58	6.70982	44.18073
655	24/08/2018	BRAUD Yoan	694	95	5	0	0	13	ensoleille		Bicolorana bicolor		1		melange (juveniles et adultes)	3		1983	24/08/2018 13:58	6.70982	44.18073
655	24/08/2018	BRAUD Yoan	694	95	5	0	0	13	ensoleille		Ephippiger terrestris		1		adulte	 +		1983	24/08/2018 13:58	6.70982	44.18073
655	24/08/2018	BRAUD Yoan	694	95	5	0	0	13	ensoleille		Gomphocerinae sp		1	1	juvenile	 ++		1983	24/08/2018 13:58	6.70982	44.18073
655	24/08/2018	BRAUD Yoan	695	100	0	0	0	49	ensoleille		Arcyptera fusca	1			adulte	1		1976	24/08/2018 14:20	6.7098	44.18052
655	24/08/2018	BRAUD Yoan	695	100	0	0	0	49	ensoleille		Chorthippus apricarius		1	1	adulte	 +++		1976	24/08/2018 14:20	6.7098	44.18052
655	24/08/2018	BRAUD Yoan	695	100	0	0	0	49	ensoleille		Stauroderus scalaris	1	1	1	adulte	 ++		1976	24/08/2018 14:20	6.7098	44.18052
655	24/08/2018	BRAUD Yoan	695	100	0	0	0	49	ensoleille		Euchorthippus declivus		1		melange (juveniles et adultes)	2		1976	24/08/2018 14:20	6.7098	44.18052
655	24/08/2018	BRAUD Yoan	695	100	0	0	0	49	ensoleille		Psophus stridulus	1	1		adulte	1		1976	24/08/2018 14:20	6.7098	44.18052
655	24/08/2018	BRAUD Yoan	695	100	0	0	0	49	ensoleille		Stenobothrus lineatus		1		adulte	1		1976	24/08/2018 14:20	6.7098	44.18052
